,,,Afghanistan,,,,Albania,,,,Algeria,,,,Andorra,,,,Angola,,,,Antigua and Barbuda,,,,Argentina,,,,Armenia,,,,Australia,,,,Austria,,,,Azerbaijan,,,,Bahamas,,,,Bahrain,,,,Bangladesh,,,,Barbados,,,,Belarus,,,,Belgium,,,,Belize,,,,Benin,,,,Bhutan,,,,Bolivia (Plurinational State of),,,,Bosnia and Herzegovina,,,,Botswana,,,,Brazil,,,,Brunei Darussalam,,,,Bulgaria,,,,Burkina Faso,,,,Burundi,,,,Cabo Verde,,,,Cambodia,,,,Cameroon,,,,Canada,,,,Central African Republic,,,,Chad,,,,Chile,,,,China,,,,Colombia,,,,Comoros,,,,Congo,,,,Cook Islands,,,,Costa Rica,,,,C̫te d'Ivoire,,,,Croatia,,,,Cuba,,,,Cyprus,,,,Czechia,,,,Democratic People's Republic of Korea,,,,Democratic Republic of the Congo,,,,Denmark,,,,Djibouti,,,,Dominica,,,,Dominican Republic,,,,Ecuador,,,,Egypt,,,,El Salvador,,,,Equatorial Guinea,,,,Eritrea,,,,Estonia,,,,Ethiopia,,,,Faroe Islands,,,,Fiji,,,,Finland,,,,France,,,
Total internal renewable water resources (IRWR) (10^9 m3/year),1958-1962,1962,47.15,K,,1962,26.9,,,1962,11.25,,,1962,0.3156,E,,1962,148,,,1962,0.052,,,1962,292,,,,,,,1962,492,,[1],1962,55,,,,,,,1962,0.7,,,1962,0.004,,,1962,105,,,1962,0.08,,,,,,,1962,12,,,1962,15.26,,,1962,10.3,,,1962,95,I,,1962,303.5,,,,,,,1962,2.4,,,1962,5661,,,1962,8.5,,,1962,21,,,1962,12.5,,,1962,10.06,,,1962,0.3,,,1962,120.6,,,1962,273,,,1962,2850,,[2],1962,141,,,1962,15,,,1962,885,,,1962,2813,,[3],1962,2145,,,1962,1.2,,,1962,222,,,,,,,1962,113,,,1962,76.84,,,,,,,1962,38.12,I,,1962,0.78,,,,,,,1962,67,,,1962,900,,,1962,6,,[4],1962,0.3,,,1962,0.2,I,,1962,23.5,,,1962,442.4,,,1962,1.8,,,1962,15.63,,,1962,26,,,,,,,,,,,,,,,,,,,1962,28.55,K,,1962,107,,,1962,200,,[5],1962
Total internal renewable water resources (IRWR) (10^9 m3/year),1963-1967,1967,47.15,K,,1967,26.9,,,1967,11.25,,,1967,0.3156,E,,1967,148,,,1967,0.052,,,1967,292,,,,,,,1967,492,,[15],1967,55,,,,,,,1967,0.7,,,1967,0.004,,,1967,105,,,1967,0.08,,,,,,,1967,12,,,1967,15.26,,,1967,10.3,,,1967,95,I,,1967,303.5,,,,,,,1967,2.4,,,1967,5661,,,1967,8.5,,,1967,21,,,1967,12.5,,,1967,10.06,,,1967,0.3,,,1967,120.6,,,1967,273,,,1967,2850,,[16],1967,141,,,1967,15,,,1967,885,,,1967,2813,,[17],1967,2145,,,1967,1.2,,,1967,222,,,,,,,1967,113,,,1967,76.84,,,,,,,1967,38.12,I,,1967,0.78,,,,,,,1967,67,,,1967,900,,,1967,6,,[18],1967,0.3,,,1967,0.2,I,,1967,23.5,,,1967,442.4,,,1967,1.8,,,1967,15.63,,,1967,26,,,,,,,,,,,,,,,,,,,1967,28.55,K,,1967,107,,,1967,200,,[19],1967
Total internal renewable water resources (IRWR) (10^9 m3/year),1968-1972,1972,47.15,K,,1972,26.9,,,1972,11.25,,,1972,0.3156,E,,1972,148,,,1972,0.052,,,1972,292,,,,,,,1972,492,,[29],1972,55,,,,,,,1972,0.7,,,1972,0.004,,,1972,105,,,1972,0.08,,,,,,,1972,12,,,1972,15.26,,,1972,10.3,,,1972,95,I,,1972,303.5,,,,,,,1972,2.4,,,1972,5661,,,1972,8.5,,,1972,21,,,1972,12.5,,,1972,10.06,,,1972,0.3,,,1972,120.6,,,1972,273,,,1972,2850,,[30],1972,141,,,1972,15,,,1972,885,,,1972,2813,,[31],1972,2145,,,1972,1.2,,,1972,222,,,,,,,1972,113,,,1972,76.84,,,,,,,1972,38.12,I,,1972,0.78,,,,,,,1972,67,,,1972,900,,,1972,6,,[32],1972,0.3,,,1972,0.2,I,,1972,23.5,,,1972,442.4,,,1972,1.8,,,1972,15.63,,,1972,26,,,,,,,,,,,,,,,,,,,1972,28.55,K,,1972,107,,,1972,200,,[33],1972
Total internal renewable water resources (IRWR) (10^9 m3/year),1973-1977,1977,47.15,K,,1977,26.9,,,1977,11.25,,,1977,0.3156,E,,1977,148,,,1977,0.052,,,1977,292,,,,,,,1977,492,,[43],1977,55,,,,,,,1977,0.7,,,1977,0.004,,,1977,105,,,1977,0.08,,,,,,,1977,12,,,1977,15.26,,,1977,10.3,,,1977,95,I,,1977,303.5,,,,,,,1977,2.4,,,1977,5661,,,1977,8.5,,,1977,21,,,1977,12.5,,,1977,10.06,,,1977,0.3,,,1977,120.6,,,1977,273,,,1977,2850,,[44],1977,141,,,1977,15,,,1977,885,,,1977,2813,,[45],1977,2145,,,1977,1.2,,,1977,222,,,,,,,1977,113,,,1977,76.84,,,,,,,1977,38.12,I,,1977,0.78,,,,,,,1977,67,,,1977,900,,,1977,6,,[46],1977,0.3,,,1977,0.2,I,,1977,23.5,,,1977,442.4,,,1977,1.8,,,1977,15.63,,,1977,26,,,,,,,,,,,,,,,,,,,1977,28.55,K,,1977,107,,,1977,200,,[47],1977
Total internal renewable water resources (IRWR) (10^9 m3/year),1978-1982,1982,47.15,K,,1982,26.9,,,1982,11.25,,,1982,0.3156,E,,1982,148,,,1982,0.052,,,1982,292,,,,,,,1982,492,,[57],1982,55,,,,,,,1982,0.7,,,1982,0.004,,,1982,105,,,1982,0.08,,,,,,,1982,12,,,1982,15.26,,,1982,10.3,,,1982,95,I,,1982,303.5,,,,,,,1982,2.4,,,1982,5661,,,1982,8.5,,,1982,21,,,1982,12.5,,,1982,10.06,,,1982,0.3,,,1982,120.6,,,1982,273,,,1982,2850,,[58],1982,141,,,1982,15,,,1982,885,,,1982,2813,,[59],1982,2145,,,1982,1.2,,,1982,222,,,,,,,1982,113,,,1982,76.84,,,,,,,1982,38.12,I,,1982,0.78,,,,,,,1982,67,,,1982,900,,,1982,6,,[60],1982,0.3,,,1982,0.2,I,,1982,23.5,,,1982,442.4,,,1982,1.8,,,1982,15.63,,,1982,26,,,,,,,,,,,,,,,,,,,1982,28.55,K,,1982,107,,,1982,200,,[61],1982
Total internal renewable water resources (IRWR) (10^9 m3/year),1983-1987,1987,47.15,K,,1987,26.9,,,1987,11.25,,,1987,0.3156,E,,1987,148,,,1987,0.052,,,1987,292,,,,,,,1987,492,,[71],1987,55,,,,,,,1987,0.7,,,1987,0.004,,,1987,105,,,1987,0.08,,,,,,,1987,12,,,1987,15.26,,,1987,10.3,,,1987,95,I,,1987,303.5,,,,,,,1987,2.4,,,1987,5661,,,1987,8.5,,,1987,21,,,1987,12.5,,,1987,10.06,,,1987,0.3,,,1987,120.6,,,1987,273,,,1987,2850,,[72],1987,141,,,1987,15,,,1987,885,,,1987,2813,,[73],1987,2145,,,1987,1.2,,,1987,222,,,,,,,1987,113,,,1987,76.84,,,,,,,1987,38.12,I,,1987,0.78,,,,,,,1987,67,,,1987,900,,,1987,6,,[74],1987,0.3,,,1987,0.2,I,,1987,23.5,,,1987,442.4,,,1987,1.8,,,1987,15.63,,,1987,26,,,,,,,,,,,,,,,,,,,1987,28.55,K,,1987,107,,,1987,200,,[75],1987
Total internal renewable water resources (IRWR) (10^9 m3/year),1988-1992,1992,47.15,K,,1992,26.9,,,1992,11.25,,,1992,0.3156,E,,1992,148,,,1992,0.052,,,1992,292,,,1992,6.859,,[85],1992,492,,[86],1992,55,,,1992,8.115,,,1992,0.7,,,1992,0.004,,,1992,105,,,1992,0.08,,,1992,34,,,1992,12,,,1992,15.26,,,1992,10.3,,,1992,95,I,,1992,303.5,,,1992,35.5,K,,1992,2.4,,,1992,5661,,,1992,8.5,,,1992,21,,,1992,12.5,,,1992,10.06,,,1992,0.3,,,1992,120.6,,,1992,273,,,1992,2850,,[87],1992,141,,,1992,15,,,1992,885,,,1992,2813,,[88],1992,2145,,,1992,1.2,,,1992,222,,,,,,,1992,113,,,1992,76.84,,,1992,37.7,,,1992,38.12,I,,1992,0.78,,,,,,,1992,67,,,1992,900,,,1992,6,,[89],1992,0.3,,,1992,0.2,I,,1992,23.5,,,1992,442.4,,,1992,1.8,,,1992,15.63,,,1992,26,,,,,,,1992,12.71,,,,,,,,,,,1992,28.55,K,,1992,107,,,1992,200,,[90],1992
Total internal renewable water resources (IRWR) (10^9 m3/year),1993-1997,1997,47.15,K,,1997,26.9,,,1997,11.25,,,1997,0.3156,E,,1997,148,,,1997,0.052,,,1997,292,,,1997,6.859,,[100],1997,492,,[101],1997,55,,,1997,8.115,,,1997,0.7,,,1997,0.004,,,1997,105,,,1997,0.08,,,1997,34,,,1997,12,,,1997,15.26,,,1997,10.3,,,1997,81,I,,1997,303.5,,,1997,35.5,K,,1997,2.4,,,1997,5661,,,1997,8.5,,,1997,21,,,1997,12.5,,,1997,10.06,,,1997,0.3,,,1997,120.6,,,1997,273,,,1997,2850,,[102],1997,141,,,1997,15,,,1997,885,,,1997,2813,,[103],1997,2145,,,1997,1.2,,,1997,222,,,,,,,1997,113,,,1997,76.84,,,1997,37.7,,,1997,38.12,I,,1997,0.78,,,1997,13.15,,[104],1997,67,,,1997,900,,,1997,6,,[105],1997,0.3,,,1997,0.2,I,,1997,23.5,,,1997,442.4,,,1997,1.8,,,1997,15.63,,,1997,26,,,1997,2.8,I,,1997,12.71,,,1997,122,I,,,,,,1997,28.55,K,,1997,107,,,1997,200,,[106],1997
Total internal renewable water resources (IRWR) (10^9 m3/year),1998-2002,2002,47.15,K,,2002,26.9,,,2002,11.25,,,2002,0.3156,E,,2002,148,,,2002,0.052,,,2002,292,,,2002,6.859,,[116],2002,492,,[117],2002,55,,,2002,8.115,,,2002,0.7,,,2002,0.004,,,2002,105,,,2002,0.08,,,2002,34,,,2002,12,,,2002,15.26,,,2002,10.3,,,2002,81,I,,2002,303.5,,,2002,35.5,K,,2002,2.4,,,2002,5661,,,2002,8.5,,,2002,21,,,2002,12.5,,,2002,10.06,,,2002,0.3,,,2002,120.6,,,2002,273,,,2002,2850,,[118],2002,141,,,2002,15,,,2002,885,,,2002,2813,,[119],2002,2145,,,2002,1.2,,,2002,222,,,,,,,2002,113,,,2002,76.84,,,2002,37.7,,,2002,38.12,I,,2002,0.78,,,2002,13.15,,[120],2002,67,,,2002,900,,,2002,6,,[121],2002,0.3,,,2002,0.2,I,,2002,23.5,,,2002,442.4,,,2002,1.8,,,2002,15.63,,,2002,26,,,2002,2.8,I,,2002,12.71,,,2002,122,I,,,,,,2002,28.55,K,,2002,107,,,2002,200,,[122],2002
Total internal renewable water resources (IRWR) (10^9 m3/year),2003-2007,2007,47.15,K,,2007,26.9,,,2007,11.25,,,2007,0.3156,E,,2007,148,,,2007,0.052,,,2007,292,,,2007,6.859,,[132],2007,492,,[133],2007,55,,,2007,8.115,,,2007,0.7,,,2007,0.004,,,2007,105,,,2007,0.08,,,2007,34,,,2007,12,,,2007,15.26,,,2007,10.3,,,2007,78,I,,2007,303.5,,,2007,35.5,K,,2007,2.4,,,2007,5661,,,2007,8.5,,,2007,21,,,2007,12.5,,,2007,10.06,,,2007,0.3,,,2007,120.6,,,2007,273,,,2007,2850,,[134],2007,141,,,2007,15,,,2007,885,,,2007,2813,,[135],2007,2145,,,2007,1.2,,,2007,222,,,,,,,2007,113,,,2007,76.84,,,2007,37.7,,,2007,38.12,I,,2007,0.78,,,2007,13.15,,[136],2007,67,,,2007,900,,,2007,6,,[137],2007,0.3,,,2007,0.2,I,,2007,23.5,,,2007,442.4,,,2007,1.8,,,2007,15.63,,,2007,26,,,2007,2.8,I,,2007,12.71,,,2007,122,I,,,,,,2007,28.55,K,,2007,107,,,2007,200,,[138],2007
Total internal renewable water resources (IRWR) (10^9 m3/year),2008-2012,2012,47.15,K,,2012,26.9,,,2012,11.25,,,2012,0.3156,E,,2012,148,,,2012,0.052,,,2012,292,,,2012,6.859,,[148],2012,492,,[149],2012,55,,,2012,8.115,,,2012,0.7,,,2012,0.004,,,2012,105,,,2012,0.08,,,2012,34,,,2012,12,,,2012,15.26,,,2012,10.3,,,2012,78,I,,2012,303.5,,,2012,35.5,K,,2012,2.4,,,2012,5661,,,2012,8.5,,,2012,21,,,2012,12.5,,,2012,10.06,,,2012,0.3,,,2012,120.6,,,2012,273,,,2012,2850,,[150],2012,141,,,2012,15,,,2012,885,,,2012,2813,,[151],2012,2145,,,2012,1.2,,,2012,222,,,,,,,2012,113,,,2012,76.84,,,2012,37.7,,,2012,38.12,I,,2012,0.78,,,2012,13.15,,[152],2012,67,,,2012,900,,,2012,6,,[153],2012,0.3,,,2012,0.2,I,,2012,23.5,,,2012,442.4,,,2012,1.8,,,2012,15.63,,,2012,26,,,2012,2.8,I,,2012,12.71,,,2012,122,I,,,,,,2012,28.55,K,,2012,107,,,2012,200,,[154],2012
Total internal renewable water resources (IRWR) (10^9 m3/year),2013-2017,2014,47.15,K,,2014,26.9,,,2014,11.25,,,2014,0.3156,E,,2014,148,,,2014,0.052,,,2014,292,,,2014,6.859,,[164],2014,492,,[165],2014,55,,,2014,8.115,,,2014,0.7,,,2014,0.004,,,2014,105,,,2014,0.08,,,2014,34,,,2014,12,,,2014,15.26,,,2014,10.3,,,2014,78,I,,2014,303.5,,,2014,35.5,K,,2014,2.4,,,2014,5661,,,2014,8.5,,,2014,21,,,2014,12.5,,,2014,10.06,,,2014,0.3,,,2014,120.6,,,2014,273,,,2014,2850,,[166],2014,141,,,2014,15,,,2014,885,,,2014,2813,,[167],2014,2145,,,2014,1.2,,,2014,222,,,,,,,2014,113,,,2014,76.84,,,2014,37.7,,,2014,38.12,I,,2014,0.78,,,2014,13.15,,[168],2014,67,,,2014,900,,,2014,6,,[169],2014,0.3,,,2014,0.2,I,,2014,23.5,,,2014,442.4,,,2014,1.8,,,2014,15.63,,,2014,26,,,2014,2.8,I,,2014,12.71,,,2014,122,I,,,,,,2014,28.55,K,,2014,107,,,2014,200,,[170],2014
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E - External data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I - AQUASTAT estimate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K - Aggregate data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L - Modelled data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(c) 2018 FAO of the UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The information contained in AQUASTAT is provided free of charge to all users. Please quote as follows:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAO. 2016. AQUASTAT Main Database - Food and Agriculture Organization of the United Nations (FAO). Website accessed on[26/05/2018 1:29],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,